abseil 20240722.1
antigen 2.2.3
aom 3.13.1
apache-spark 3.5.3
aribb24 1.0.4
assimp 5.4.3
asyncapi 3.1.1
aws-sam-cli 1.138.0
awscli 2.27.8
azure-cli 2.72.0
azure-functions-core-tools@4 4.0.5907
bash 5.2.37
bat 0.24.0_1
bazel 8.2.1
bc 1.08.1
bear 3.1.6_1
bitwarden-cli 2025.8.0
blake3 1.8.2
brotli 1.1.0
btop 1.4.0
buildifier 7.3.1
c-ares 1.34.5
ca-certificates 2025-09-09 2025-08-12
cairo 1.18.4
cargo-binstall 1.17.3
ccache 4.11.3
certifi 2025.4.26
cffi 1.17.1_1
cjson 1.7.19
cmake 3.31.3
coreutils 9.7
cryptography 44.0.0 44.0.3
curl 8.13.0
dav1d 1.5.1
dbus 1.16.2
direnv 2.34.0
docker 28.3.2
docker-completion 28.3.2
docker-credential-helper 0.9.3
double-conversion 3.3.1
doxygen 1.13.2
duckdb 0.10.0
expat 2.7.1
fd 9.0.0
ffmpeg 8.0_1
flac 1.5.0
fmt 11.2.0
fontconfig 2.17.1
freerdp 3.17.2
freetype 2.14.1_1
frei0r 2.4.0
fribidi 1.0.16
fzf 0.47.0
gawk 5.3.1
gd 2.3.3_6
gdk-pixbuf 2.42.12_1
gettext 0.26
gh 2.70.0
giflib 5.2.2
glab 1.55.0
glib 2.86.0 2.84.3
gmp 6.3.0
gnu-sed 4.9
gnupg 2.4.8
gnutls 3.8.10
go 1.23.6 1.23.3
gprof2dot 2025.4.14
gradle 8.14
graphite2 1.3.14
graphviz 13.0.1
grpc 1.72.0
gts 0.7.6_3
harfbuzz 12.1.0
helm 3.19.0
highway 1.3.0
hiredis 1.3.0
htop 3.3.0
hugo 0.143.1
hunspell 1.7.2
icu4c@75 75.1
icu4c@76 76.1_1
icu4c@77 77.1
imath 3.1.12 3.2.1
imlib2 1.12.3
jasper 4.2.5
jpeg-turbo 3.1.2
jpeg-xl 0.11.1_3
jq 1.7.1
just 1.39.0
k9s 0.50.3
krb5 1.21.3
kubernetes-cli 1.33.3
lame 3.100
leptonica 1.86.0
libarchive 3.8.1
libass 0.17.4
libassuan 3.0.2
libavif 1.3.0
libb2 0.98.1
libbluray 1.4.0
libcaca 0.99b20
libdeflate 1.24
libevent 2.1.12_1
libgcrypt 1.11.1
libgit2@1.7 1.7.2
libgpg-error 1.55
libidn2 2.3.8
libksba 1.6.7
libmagic 5.46
libmicrohttpd 1.0.2
libmng 2.0.3_1
libnghttp2 1.67.1 1.66.0
libnghttp3 1.11.0
libngtcp2 1.15.0
libogg 1.3.6
libpng 1.6.50
libpq 17.5
librist 0.2.11
librsvg 2.60.0
libsamplerate 0.2.2
libsndfile 1.2.2_1
libsodium 1.0.20
libsoxr 0.1.3
libssh 0.11.3
libssh2 1.11.1
libtasn1 4.20.0
libtiff 4.7.1
libtool 2.5.4
libudfread 1.2.0
libunibreak 6.1
libunistring 1.4 1.3
libusb 1.0.29
libuv 1.51.0
libvidstab 1.1.1
libvmaf 3.0.0
libvorbis 1.3.7
libvpx 1.15.2
libx11 1.8.12
libxau 1.0.12
libxcb 1.17.0
libxcursor 1.2.3
libxdmcp 1.1.5
libxext 1.3.6
libxfixes 6.0.2
libxi 1.8.2
libxinerama 1.1.5
libxrandr 1.5.4
libxrender 0.9.12
libxv 1.0.13
libyaml 0.2.5
little-cms2 2.17
llvm 20.1.4
llvm@15 15.0.7
llvm@17 17.0.6
lpeg 1.1.0
lua 5.4.6
luajit 2.1.1748459687
luarocks 3.11.1
luv 1.51.0-1
lz4 1.10.0
lzo 2.10
m4 1.4.20
maven 3.9.9
mbedtls 3.6.4
md4c 0.5.2
minify 2.21.3
mpdecimal 4.0.0
mpfr 4.2.2
mpg123 1.33.2
mplayer 1.5_1
ncurses 6.5
neofetch 7.1.0
neovim 0.11.2
netpbm 11.02.17
nettle 3.10.2
ninja 1.12.1
nlohmann-json 3.12.0
node 24.6.0
nowplaying-cli 1.2.1
npth 1.8
ollama 0.5.7
oniguruma 6.9.9
opencore-amr 0.1.6
openexr 3.4.0_2 3.3.4
openjdk 23.0.2
openjdk@11 11.0.25
openjdk@17 17.0.14
openjdk@21 21.0.7
openjpeg 2.5.4
openjph 0.24.1
openssl@3 3.5.2
opus 1.5.2
p11-kit 0.25.10
pandoc 3.6.2
pango 1.57.0 1.56.3
parallel 20240222
parquet-cli 1.15.2
pcre 8.45
pcre2 10.47
pinentry 1.3.1_1
pipx 1.7.1_1
pixman 0.46.4
pkcs11-helper 1.30.0
plantuml 1.2025.3
podman 5.5.2
portaudio 19.7.0
postgresql@14 14.16
procs 0.14.10
protobuf 29.3
psqlodbc 17.00.0006
pstree 2.40
pycparser 2.22_1
python-packaging 24.2
python@3.12 3.12.10 3.12.8
python@3.13 3.13.2 3.13.3
qrencode 4.1.1
qsv 15.0.1
qt 6.9.0
rav1e 0.8.1
re2 20240702_1
readline 8.3.1
ripgrep 15.1.0
rtmpdump 2.4-20151223_3
rubberband 4.0.0
scala 3.7.1
screenresolution 1.6
sdl2 2.32.10
sdl3 3.2.24
sdl3_ttf 3.2.2
simdjson 3.13.0
sketchybar 2.22.1
skhd 0.3.9
snappy 1.2.2
spacebar 1.4.0
spdlog 1.15.3
speex 1.2.1
speexdsp 1.2.1
sqlite 3.50.4
srt 1.5.4
sshpass 1.10
stow 2.3.1
svt-av1 3.1.2
telnet 303.141.1
terraform 1.5.7
tesseract 5.5.1
theora 1.2.0
tmux 3.4_1
tree 2.1.1_1
tree-sitter 0.25.6
unbound 1.24.0 1.23.0
unibilium 2.1.2
unixodbc 2.3.12
utf8proc 2.10.0
uvwasi 0.0.21
watch 4.0.4
watson 2.1.0_6
webp 1.6.0
wget 1.25.0
wireguard-go 0.0.20230223
wireguard-tools 1.0.20210914_1
x264 r3222
x265 4.1
xorgproto 2024.1
xsv 0.13.0
xvid 1.3.7
xxhash 0.8.3
xz 5.8.1
yabai 7.1.4
yamllint 1.37.1
yq 4.49.2
z3 4.14.0 4.14.1
zeromq 4.3.5_2
zimg 3.0.6
zsh 5.9
zstd 1.5.7
aerospace 0.18.5-Beta
arc 1.34.0,47465
audacity 3.7.1
basictex 2024.0309
battery 1.2.2
bitwarden 2024.2.1
bruno 2.1.0
caffeine 1.1.4
citrix-workspace 23.11.0.67
codexbar 0.17.0
discord 0.0.336
drawio 26.0.9
font-fontawesome 6.7.2
font-jetbrains-mono-nerd-font 3.3.0
font-monaspice-nerd-font 3.3.0
font-noto-sans-symbols-2 latest
ghostty 1.0.1
google-chrome 122.0.6261.94
google-drive 111.0.2
jordanbaird-ice 0.11.12
jsonschema 7.1.2
karabiner-elements 14.13.0
keycastr 0.9.16
mockoon 9.3.0
obs 31.1.1
obsidian 1.8.7
pants 0.12.0
pomatez 1.8.0
rancher 1.12.3
signal 7.2.0
spotify 1.2.31.1205,4d59ad7c,349
visual-studio-code 1.108.2
vnc-viewer 7.15.1
wireshark-app 4.6.3
xquartz 2.8.5
